Presidential,NA,Plurality,No local elections,South Asia,Low income,IDA,HIPC
Presidential,Left,PR,Legislature locally elected,Sub-Saharan Africa,Lower middle income,IBRD,NA
Parliamentary,Right,Plurality,Legislature locally elected,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,NA,No local elections,Middle East & North Africa,High income,NA,NA
Presidential,Left,PR,Legislature and executive locally elected,Latin America & Caribbean,Upper middle income,IBRD,NA
Parliamentary,Center,PR,No local elections,Europe & Central Asia,Upper middle income,IBRD,NA
Parliamentary,Right,Plurality,Legislature and executive locally elected,East Asia & Pacific,High income,NA,NA
Parliamentary,Right,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,EMU
Presidential,NA,Plurality,No local elections,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,PR,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,NA,PR,Legislature locally elected,Europe & Central Asia,High income,NA,EMU
Presidential,NA,PR,Legislature and executive locally elected,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Presidential,Center,PR,NA,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,NA,Plurality,No local elections,South Asia,Lower middle income,IDA,NA
Parliamentary,Right,PR,Legislature and executive locally elected,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,Plurality,No local elections,Middle East & North Africa,High income,NA,NA
Parliamentary,Right,Plurality,No local elections,Latin America & Caribbean,High income,NA,NA
Parliamentary,NA,PR,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Presidential,NA,Plurality,NA,Europe & Central Asia,Upper middle income,IBRD,NA
Parliamentary,Right,Plurality,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,Left,Plurality,No local elections,Latin America & Caribbean,Lower middle income,IBRD,HIPC
Presidential,Right,PR,Legislature and executive locally elected,Latin America & Caribbean,Upper middle income,IBRD,NA
Parliamentary,Left,Plurality,No local elections,Latin America & Caribbean,High income,NA,NA
Presidential,NA,NA,No local elections,East Asia & Pacific,High income,NA,NA
Presidential,NA,Plurality,No local elections,South Asia,Lower middle income,IDA,NA
Parliamentary,Right,Plurality,NA,Sub-Saharan Africa,Upper middle income,IBRD,NA
Presidential,NA,Plurality,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,Left,Plurality,Legislature and executive locally elected,North America,High income,NA,NA
Parliamentary,NA,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,NA
Presidential,NA,Plurality,No local elections,Latin America & Caribbean,High income,IBRD,NA
Assembly-Elected President,Left,NA,Legislature and executive locally elected,East Asia & Pacific,Upper middle income,IBRD,NA
Presidential,NA,Plurality,Legislature locally elected,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Presidential,NA,Plurality,No local elections,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Presidential,Left,Plurality,Legislature locally elected,Sub-Saharan Africa,Lower middle income,Blend,HIPC
Presidential,Right,PR,Legislature locally elected,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,NA,Plurality,Legislature locally elected,Sub-Saharan Africa,Lower middle income,IDA,HIPC
Presidential,Center,PR,NA,Sub-Saharan Africa,Lower middle income,Blend,NA
Presidential,Left,PR,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Assembly-Elected President,Left,PR,No local elections,Latin America & Caribbean,Upper middle income,NA,NA
Presidential,Right,PR,NA,Europe & Central Asia,High income,NA,EMU
Parliamentary,NA,PR,Legislature locally elected,Europe & Central Asia,High income,NA,NA
NA,NA,NA,Legislature and executive locally elected,NA,NA,NA,NA
Parliamentary,Left,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,EMU
Presidential,NA,Plurality,NA,Middle East & North Africa,Lower middle income,IDA,NA
Parliamentary,Left,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,NA
Presidential,Center,PR,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,Left,PR,Legislature locally elected,Middle East & North Africa,Lower middle income,IBRD,NA
Presidential,Left,Plurality,No local elections,Latin America & Caribbean,Upper middle income,IBRD,NA
Presidential,NA,Plurality,Legislature locally elected,Middle East & North Africa,Lower middle income,IBRD,NA
Assembly-Elected President,NA,NA,No local elections,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,Left,PR,Legislature and executive locally elected,Europe & Central Asia,High income,NA,EMU
Assembly-Elected President,NA,PR,NA,Europe & Central Asia,High income,NA,EMU
Parliamentary,NA,Plurality,Legislature locally elected,Sub-Saharan Africa,Low income,IDA,HIPC
Parliamentary,Left,PR,Legislature locally elected,Europe & Central Asia,High income,NA,EMU
