ISO3,CPI score 2021,FH Political Rights Score,FH Civil Liberties Score,Net FDI,GDP,Unemployment Rate (%),Refugee Population,Infant Mortality Rate,Population,Aid Level
DNK,88,1.0,1.0,1582721537.00509,355222449505.211,5.6399998664856,5.0,3.2,5831404.0,Low Aid
FIN,88,1.0,1.0,-2487590239.30074,271891788362.647,7.76000022888184,286.0,1.8,5529543.0,Low Aid
NZL,88,1.0,1.0,4135119591.14727,211734532308.013,4.59999990463257,35.0,4.0,5090200.0,Low Aid
NOR,85,1.0,1.0,-4102660408.42478,362198318435.26,4.42000007629395,5.0,1.8,5379475.0,Low Aid
SGP,85,4.0,4.0,74750514891.0724,345295933898.674,4.09999990463257,37.0,1.8,5685807.0,Low Aid
SWE,85,1.0,1.0,18904841095.6675,547054174235.876,8.28999996185303,8.0,2.1,10353442.0,Low Aid
DEU,80,1.0,1.0,142778529123.296,3889668895299.62,3.85999989509583,71.0,3.1,83160871.0,Low Aid
CAN,74,1.0,1.0,30384551083.2897,1645423407568.36,9.46000003814697,65.0,4.5,38037204.0,Low Aid
IRL,74,1.0,1.0,34782774941.4582,425852281928.121,5.61999988555908,286.0,2.8,4985382.0,Low Aid
EST,74,1.0,1.0,3616480317.59217,31370395572.7658,6.96000003814697,277.0,1.7,1329522.0,Low Aid
AUS,73,1.0,1.0,15307363569.8504,1326901059123.21,6.46000003814697,20.0,3.2,25655289.0,Low Aid
JPN,73,1.0,1.0,60725202927.8587,5040107754084.11,2.79999995231628,40.0,1.8,126261000.0,Low Aid
URY,73,1.0,1.0,517154407.200388,53560755046.6162,10.3299999237061,15.0,5.4,3429086.0,Low Aid
FRA,71,1.0,2.0,14725353075.83,2639008701648.26,8.01000022888184,49.0,3.4,67571107.0,Low Aid
SYC,70,2.0,3.0,80053481.4058233,1261198524.11092,6.80000019073486,10.0,12.2,98462.0,Low Aid
ARE,69,7.0,6.0,19884468664.9,349473015336.939,4.28999996185303,181.0,5.6,9287289.0,Low Aid
BTN,68,2.0,4.0,-2786960.89013149,2325184481.4277,5.03000020980835,6741.0,23.1,772506.0,Low Aid
CHL,67,1.0,1.0,9205260158.62042,252727193710.018,11.1400003433228,659.0,5.9,19300315.0,Low Aid
BRB,65,1.0,1.0,262100000.0,4671800000.0,10.1049995422363,230.0,11.4,280693.0,Low Aid
BHS,64,1.0,1.0,434599799.803594,9699500000.0,12.8669996261597,534.0,11.5,406471.0,Low Aid
QAT,63,6.0,5.0,-2434065934.06593,144411363345.27,0.140000000596046,33.0,4.8,2760385.0,Low Aid
KOR,62,2.0,2.0,8764900000.0,1644312831906.17,3.9300000667572,146.0,2.6,51836239.0,Low Aid
PRT,62,1.0,1.0,3991854438.00435,229031860520.777,6.80000019073486,27.0,2.7,10297081.0,Low Aid
LTU,61,1.0,2.0,4478593693.35008,56846622904.4391,8.48999977111816,58.0,2.9,2794885.0,High Aid
ESP,61,1.0,1.0,36630335495.6506,1276962685648.25,15.5299997329712,52.0,2.6,47365655.0,Low Aid
ISR,59,2.0,3.0,23109200000.0,413267669231.522,4.32999992370605,373.0,2.8,9215100.0,High Aid
LVA,59,1.0,2.0,938191969.147099,34601740323.3386,8.10000038146973,143.0,3.3,1900449.0,Low Aid
VCT,59,1.0,1.0,65244280.380627,872134555.555555,20.5499992370605,742.0,13.0,104632.0,Low Aid
CPV,58,1.0,1.0,67928586.4984708,1703698676.69742,14.8780002593994,5.0,12.2,582640.0,Low Aid
CRI,58,1.0,1.0,2103003648.9836,62158002233.0279,16.4300003051758,208.0,6.7,5123105.0,Low Aid
SVN,57,1.0,1.0,506269486.820006,53706800043.6842,4.96999979019165,17.0,1.8,2102419.0,Low Aid
ITA,56,1.0,1.0,-22090942205.122,1896755301518.14,9.15999984741211,62.0,2.4,59438851.0,Low Aid
POL,56,2.0,2.0,19151000000.0,599449188399.108,3.16000008583069,910.0,3.7,37899070.0,Low Aid
LCA,56,1.0,1.0,47558516.846383,1516015718.73491,20.3899993896484,726.0,22.1,179237.0,Low Aid
BWA,55,3.0,2.0,31807196.1610446,14930072458.5814,21.0200004577637,191.0,29.0,2546402.0,High Aid
DMA,55,1.0,1.0,21535037.8346489,504214814.814815,6.80000019073486,55.0,31.7,71995.0,Low Aid
FJI,55,3.0,3.0,239380737.903611,4477040340.45226,4.79400014877319,516.0,23.1,920422.0,Low Aid
GEO,55,4.0,3.0,551844400.59,15842922532.7202,11.7299995422363,7346.0,8.5,3722716.0,High Aid
CZE,54,1.0,1.0,8515481807.56744,245974558654.043,2.54999995231628,1112.0,2.3,10697858.0,Low Aid
MLT,54,2.0,1.0,4268969564.25734,14933066818.9606,4.34999990463257,5.0,5.2,515332.0,Low Aid
MUS,54,1.0,2.0,224668082.7703,11401050654.5624,8.63000011444092,176.0,14.9,1265740.0,Low Aid
GRD,53,1.0,2.0,148811370.074643,1043414814.81481,6.80000019073486,70.0,14.6,123663.0,Low Aid
CYP,53,1.0,1.0,-26023544826.6398,25008448886.3507,7.59000015258789,286.0,2.3,1237537.0,Low Aid
RWA,53,6.0,6.0,152614120.95,10184345442.1708,13.0100002288818,245781.0,30.4,13146362.0,High Aid
SAU,53,7.0,7.0,5399157039.57757,703367841222.555,7.44999980926514,2003.0,6.0,35997107.0,Low Aid
OMN,52,6.0,5.0,2888946684.0052,75909397659.2978,2.94000005722046,47.0,8.9,4543399.0,Low Aid
SVK,52,1.0,1.0,-1141703441.49018,106696828625.55,6.69000005722046,1368.0,4.7,5458827.0,High Aid
ARM,49,4.0,4.0,58582750.1214803,12641697523.2966,12.1800003051758,10334.0,10.0,2805608.0,High Aid
