,Country / Territory,ISO3,CPI score 2021,FH Political Rights Score,FH Civil Liberties Score,FH Status,Net FDI,GDP,Unemployment Rate (%),Refugee Population,Infant Mortality Rate,Population,Obligations,Aid Level
0,Denmark,DNK,88,1.0,1.0,F,1582721537.00509,355222449505.211,5.6399998664856,5.0,3.1,5831404.0,16986.0,Low Aid
1,Finland,FIN,88,1.0,1.0,F,-2368877283.6843,271891788362.647,7.76000022888184,122308.01219512195,1.9,5529543.0,3386.0,Low Aid
2,New Zealand,NZL,88,1.0,1.0,F,4057542348.23944,211734532308.013,4.59000015258789,35.0,3.9,5090200.0,-4707.0,No Aid
3,Norway,NOR,85,1.0,1.0,F,-4102660408.42478,362198318435.26,4.42000007629395,5.0,1.8,5379475.0,21386.0,Low Aid
4,Singapore,SGP,85,4.0,4.0,PF,74750514891.0724,345295933898.674,4.09999990463257,37.0,1.8,5685807.0,1728315.0,Low Aid
5,Sweden,SWE,85,1.0,1.0,F,18317588083.6712,547054174235.876,8.28999996185303,8.0,2.1,10353442.0,3386.0,Low Aid
9,Germany,DEU,80,1.0,1.0,F,142778529123.296,3889668895299.62,3.80999994277954,71.0,3.1,83160871.0,193826.0,Low Aid
11,Canada,CAN,74,1.0,1.0,F,26558536715.035,1645423407568.36,9.46000003814697,65.0,4.4,38037204.0,35113031.0,Low Aid
13,Ireland,IRL,74,1.0,1.0,F,32451687292.8702,425852281928.121,5.61999988555908,122308.01219512195,2.6,4985382.0,752129.0,Low Aid
14,Estonia,EST,74,1.0,1.0,F,3536187225.24438,31370395572.7658,6.80000019073486,277.0,1.7,1329522.0,36424519.0,Low Aid
16,Australia,AUS,73,1.0,1.0,F,18700681395.2744,1326901059123.21,6.46000003814697,20.0,3.1,25655289.0,139935.0,Low Aid
18,Japan,JPN,73,1.0,1.0,F,61514924437.9407,5040107754084.11,2.79999995231628,40.0,1.8,126261000.0,496280.0,Low Aid
19,Uruguay,URY,73,1.0,1.0,F,409597040.464901,53560755046.6162,10.3500003814697,15.0,5.3,3429086.0,1758407.0,Low Aid
20,France,FRA,71,1.0,2.0,F,14725353075.83,2639008701648.26,8.01000022888184,49.0,3.4,67571107.0,212715749.16766468,High Aid
21,Seychelles,SYC,70,2.0,3.0,F,175110126.136493,1261198524.11092,8.514987876830679,10.0,12.0,98462.0,1219216.0,Low Aid
22,United Arab Emirates,ARE,69,7.0,6.0,NF,19884468664.9,349473015336.939,3.18799996376038,181.0,5.6,9287289.0,131832.0,Low Aid
23,Bhutan,BTN,68,2.0,4.0,PF,-2786960.89013149,2325184481.4277,3.6489999294281,6741.0,23.2,772506.0,1087173.0,Low Aid
25,Chile,CHL,67,1.0,1.0,F,8527994517.19414,252727193710.018,11.1800003051758,659.0,5.8,19300315.0,9888260.0,Low Aid
27,Barbados,BRB,65,1.0,1.0,F,262100000.0,4671800000.0,10.3769998550415,230.0,11.4,280693.0,1021648.0,Low Aid
28,Bahamas,BHS,64,1.0,1.0,F,434599799.803594,9699500000.0,13.3210000991821,534.0,10.5,406471.0,10302089.0,Low Aid
29,Qatar,QAT,63,6.0,5.0,NF,-2434065934.06593,144411363345.27,0.214000001549721,33.0,4.9,2760385.0,106000.0,Low Aid
30,"Korea, South",KOR,62,2.0,2.0,F,8764900000.0,1644312831906.17,3.9300000667572,146.0,2.6,51836239.0,15705254.0,Low Aid
31,Portugal,PRT,62,1.0,1.0,F,3815634818.12139,229031860520.777,6.78999996185303,27.0,2.7,10297081.0,55626.0,Low Aid
32,Lithuania,LTU,61,1.0,2.0,F,4478593693.35008,56846622904.4391,8.48999977111816,58.0,2.7,2794885.0,42003240.0,High Aid
33,Spain,ESP,61,1.0,1.0,F,33735353773.1456,1276962685648.25,15.5299997329712,52.0,2.7,47365655.0,100218.0,Low Aid
34,Israel,ISR,59,2.0,3.0,F,24283200000.0,413267669231.522,4.32999992370605,373.0,2.9,9215100.0,3310857689.0,High Aid
35,Latvia,LVA,59,1.0,2.0,F,944114980.056192,34601740323.3386,8.10000038146973,143.0,3.4,1900449.0,24924337.0,Low Aid
