"","log_aid","CPI score 2021"
"DNK",9.74020362461931,88
"FIN",8.12769985281777,88
"NZL",0,88
"NOR",11.0376439320624,85
"SGP",13.1521105114249,85
"SWE",8.12769985281777,85
"DEU",12.1747212876203,80
"CAN",14.2197128690798,74
"IRL",13.5306644603317,74
"EST",17.3853995290005,74
"AUS",0,73
"JPN",12.3615795481286,73
"URY",11.2820773092705,73
"FRA",7.97796809312855,71
"SYC",14.0150390559126,70
"ARE",12.9151792935854,69
"BTN",12.8323960290309,68
"CHL",13.3408175507523,67
"BRB",13.4853899072468,65
"BHS",16.8861371551309,64
"QAT",12.6166347418962,63
"KOR",16.5648742807675,62
"PRT",9.63462723432493,62
"LTU",17.5171346036629,61
"ESP",10.4536877237761,61
"ISR",21.9192254741324,59
"LVA",16.9918060099374,59
"VCT",14.1274763789451,59
"CPV",13.6565429620686,58
"CRI",17.0118119263647,58
"SVN",16.3600750879147,57
"ITA",16.4115055878294,56
"POL",16.2235795390055,56
"LCA",10.9488221230092,56
"BWA",17.7517797153585,55
"DMA",14.5528459011382,55
"FJI",15.3669705679281,55
"GEO",18.8742978126214,55
"CZE",15.236479738378,54
"MLT",10.594357141352,54
"MUS",13.646629077357,54
"GRD",14.4637325457212,53
"CYP",4.39444915467244,53
"RWA",19.0794685232119,53
"SAU",14.4975705016382,53
"OMN",15.4394312862821,52
"SVK",17.8597652592769,52
"ARM",17.6620954590845,49
"GRC",16.1976631996078,49
"JOR",21.6152587975501,49
"NAM",18.145640558383,49
"MYS",17.5514796836102,48
"HRV",16.0288008325359,47
"CUB",16.1241341822746,46
"MNE",16.8861214744861,46
"CHN",17.0098607532997,45
"ROU",18.4096658824875,45
"STP",10.0867669837552,45
"VUT",14.490468309324,45
"JAM",16.9659713015355,44
"ZAF",20.3678690201408,44
"TUN",19.2151567468057,44
"GHA",19.1083512599251,43
"HUN",15.4340881757538,43
"KWT",14.5294319525007,43
"SEN",18.9370966887154,43
"SLB",13.2676508951962,43
"BHR",16.7102687923015,42
"BEN",18.2667850682755,42
"BFA",18.4734287986628,42
"BGR",18.44879954873,42
"TLS",17.4826715136725,41
"BLR",15.7437150253097,41
"TTO",14.7905210397142,41
"IND",18.5210539124441,40
"MDV",14.6305292936714,40
"COL",20.1667660038775,39
"ETH",20.514573697888,39
"GUY",15.0584168226519,39
"MAR",18.4421616288528,39
"MKD",17.2967676625398,39
"SUR",12.6333122916492,39
"TZA",20.1854755935356,39
"VNM",19.1825370304083,39
"ARG",15.7043344250319,38
"BRA",17.5804427009725,38
"IDN",19.123693004207,38
"LSO",18.2160436739274,38
"SRB",17.3021281013042,38
"TUR",18.3411395988086,38
"GMB",15.2342665428945,37
"KAZ",17.8156153356379,37
"LKA",17.5587778135361,37
"CIV",18.9139615821381,36
"ECU",17.8188400116768,36
"MDA",17.454197874353,36
"PAN",17.2210853116056,36
"PER",18.7590899605589,36
"ALB",17.7565677426065,35
"BIH",18.2745569589018,35
"MWI",19.5649067954596,35
"MNG",17.4556215539232,35
"THA",18.2383956984919,35
"SLV",19.0999200214408,34
"SLE",17.74477371427,34
"EGY",21.0964696240166,33
"NPL",18.7335239289874,33
"PHL",19.6241061314731,33
"ZMB",19.7406689826476,33
"DZA",15.6196622586664,33
"SWZ",18.052987347779,32
"UKR",20.0965455746293,32
"GAB",14.0067943338273,31
"MEX",19.3333706967958,31
"NER",19.1546288788112,31
"PNG",15.9238905638847,31
"AZE",16.9232484544641,30
"BOL",13.9129784083224,30
"DJI",17.252222723787,30
"DOM",17.9718906364191,30
"LAO",18.1574932026855,30
"PRY",16.5755699271553,30
"TGO",15.5962670491671,30
"KEN",20.3593312612462,30
"AGO",17.3835689851459,29
"LBR",19.096011500408,29
"MLI",19.0551683126736,29
"RUS",15.9478012767681,29
"MRT",16.7889214017007,28
"MMR",18.9973778968808,28
"PAK",19.7309976480586,28
"UZB",17.0904069161986,28
"CMR",19.0608413552384,27
"KGZ",17.5847957615364,27
"UGA",20.3644456593528,27
"BGD",19.7841648710078,26
"MDG",18.6056116600719,26
"MOZ",20.0224526232974,26
"GTM",18.8625861457352,25
"GIN",17.7565840811395,25
"TJK",17.5316073616655,25
"LBN",20.0423583310279,24
"NGA",20.5927530266717,24
"CAF",18.4440244471734,24
"KHM",18.62707664908,23
"HND",18.2501207005921,23
"IRQ",20.8484540584095,23
"ZWE",19.4429557029359,23
"ERI",11.5129354649202,22
"COG",16.5216800583237,21
"GNB",15.4583420464096,21
"TCD",18.2300865551013,20
"COM",14.0215543379739,20
"HTI",19.3961834862595,20
"NIC",17.3032376228425,20
"SDN",19.0853967828225,20
"BDI",17.8602679484908,19
"COD",20.4266250628946,19
"TKM",15.6321575801302,19
"GNQ",9.79283528243253,17
"LBY",18.0729531103295,17
"AFG",22.0392007084499,16
"PRK",0,16
"YEM",20.2022181774021,16
"VEN",18.1340656753828,14
"SOM",20.2030993764147,13
"SYR",20.4115479105244,13
"SSD",20.2234229004093,11
